date,flow,symptoms,mood,notes
-186,medium,"cramps,bloating",neutral,Cycle 1
-185,heavy,"cramps,fatigue",sad,
-184,medium,cramps,neutral,
-183,light,,neutral,
-182,spotting,,happy,
-158,medium,cramps,neutral,Cycle 2
-157,heavy,"cramps,fatigue",sad,
-156,medium,,neutral,
-155,light,,neutral,
-154,spotting,,happy,
-130,medium,"cramps,bloating",neutral,Cycle 3
-129,heavy,"cramps,fatigue",sad,
-128,medium,cramps,neutral,
-127,light,,neutral,
-126,spotting,,happy,
-102,medium,cramps,neutral,Cycle 4
-101,heavy,"cramps,fatigue",sad,
-100,medium,,neutral,
-99,light,,neutral,
-98,spotting,,happy,
-74,medium,"cramps,bloating",neutral,Cycle 5 — last recorded period
-73,heavy,"cramps,fatigue",sad,
-72,medium,cramps,neutral,
-71,light,,neutral,
-70,spotting,,happy,
